,Address,Price,Locality,Beds,Area,Baths,Half Baths,Lot Size
0,0 Gateway,"$725,000","Rock Springs, WY 82901",,,,,
1,1003 Winchester Blvd.,"$452,900","Rock Springs, WY 82901",4,,4,,0.21 Acres
2,600 Talladega,"$396,900","Rock Springs, WY 82901",5,"3,154",3,,
3,3239 Spearhead Way,"$389,900","Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
4,522 Emerald Street,"$254,000","Rock Springs, WY 82901",3,"1,172",3,,"Under 1/2 Acre, "
5,1302 Veteran's Drive,"$252,900","Rock Springs, WY 82901",4,"1,932",2,,0.27 Acres
6,1021 Cypress Cir,"$210,000","Rock Springs, WY 82901",4,"1,676",3,,"Under 1/2 Acre, "
7,913 Madison Dr,"$209,000","Rock Springs, WY 82901",3,"1,344",2,,"Under 1/2 Acre, "
8,1344 Teton Street,"$199,900","Rock Springs, WY 82901",3,"1,920",2,,"Under 1/2 Acre, "
9,4 Minnies Lane,"$196,900","Rock Springs, WY 82901",3,"1,664",2,,2.02 Acres
